SNo.,Stack Overflow #,Type of Task,Issues in Buggy Version of Program,Issue Identified by KUnit in Data Preparation Stage,Issue Identified by KUnit in Model Design Stage,Issues Identified by DeepDiagnosis
1,50306988,BC,"-- model.add(Dense(units=nr_classes, activation='softmax'))
++ model.add(Dense(units=nr_classes, activation='sigmoid'))
-- model.compile(loss=‘categorical_crossentropy', optimizer=‘adam', metrics=['accuracy'])
++ model.compile(loss=‘binary_crossentropy', optimizer='rmsprop', metrics=['accuracy'])
",No Bug,"AssertionError('Incorrect loss --> Use binary crossentropy',)
 AssertionError('Incorrect output layer activation --> Use sigmoid activation',)
AssertionError('Mismatch in output shape --> For binary classification use units = 1',)","Batch 0 layer 1:  Out of Rang Problem, terminating training		 --- 0.5486089999999999 seconds ---	 	 
change the activation function to softmax"
2,39525358,BC," ++ scaler = StandardScaler()
 ++ X = scaler.fit_transform(X)","AssertionError('Data is not normalized or scaled',)",No bug,"Batch 19 layer 1: Dead Node Problem, terminating training		 --- 13.167072000000001 seconds ---		 Normalize the data"
3,47724077,BC," ++ scaler = StandardScaler()
++ X = scaler.fit_transform(X)","AssertionError('Data is not normalized or scaled',)","AssertionError('Incorrect loss --> Use binary crossentropy',)
AssertionError('Incorrect output layer activation --> Use sigmoid activation',)
AssertionError('Mismatch in output shape --> For binary classification use units = 1',)","Batch 14 layer 2: Numerical Error in delta Weights, terminating training		 --- 11.295739000000001 seconds ---		 
Please change the loss function 	 OR Please change the activaton function at layer: 3"
4,59278771,MC,"++ scaler = StandardScaler()
++ X = scaler.fit_transform(X)
-- model.add(Dense(4, input_dim=4, activation=""relu"", kernel_initializer=""normal""))
++ model.add(Dense(16, activation=""relu""))
++ model.add(Dense(32, activation=""relu""))
-- model.add(Dense(3, activation=""sigmoid"", kernel_initializer=""normal""))
++ model.add(Dense(3, activation=""softmax"", kernel_initializer=""normal""))","AssertionError('Data is not normalized or scaled',)","AssertionError('Incorrect output layer activation --> 
Use softmax activation',)",No output
5,52800582,Reg," ++ x_scaler = StandardScaler()
++ y_scaler = StandardScaler()
++ x = x_scaler.fit_transform(x[:, None])
++ y = y_scaler.fit_transform(y[:, None])","AssertionError('Data is not normalized or scaled',)","AssertionError('Add metrics --> 
Use mean squared error or mean absolute error',)","Batch 4 layer 0: Saturated Activation Problem, terminating training		 Normalize the data 		 --- 1.571479 seconds ---"
6,34673164,BC," ++ Normalize the data
-- model.add(Activation('softmax'))
++model.add(Activation('sigmoid'))
-- model.compile(loss='mean_squared_error', optimizer=sgd,metrics=[ 'accuracy' ])
++ model.compile(loss='binary_crossentropy', optimizer='Adam', metrics=['accuracy' ])"," AssertionError('Data is not normalized or scaled',)","AssertionError('Incorrect loss --> Use binary crossentropy’,)
AssertionError('Incorrect output layer activation --> Use sigmoid activation',)
AssertionError('Mismatch in output shape --> For binary classification use units = 1',)
AssertionError('Oscillating Loss --> Change Learning Rate',),
AssertionError('Slow Convergence --> Change Optimizer/Learning Rate',)","Batch 4 layer 0: Saturated Activation Problem, terminating training		 Normalize the data 		 --- 2.4729249999999996 seconds ---"
7,48221692,Reg,"-- neural_network.add(Dense(1, activation='sigmoid'))
++ neural_network.add(Dense(1, activation='linear'))","AssertionError('Data is not normalized or scaled',)","AssertionError('Incorrect metrics --> Use mean squared error or mean absolute error',)
AssertionError('Incorrect output layer activation --> Use linear activation',)","Batch 0 layer 3:  Out of Rang Problem, terminating training		 --- 0.30730400000000024 seconds ---	 	 
change the activation function to softmax"
8,44066044,BC,"++ X = preprocessing.scale(X)
-- model.add(Dense(1, kernel_initializer='normal', activation='relu'))
 ++ model.add(Dense(1, kernel_initializer='normal', activation='sigmoid'))","AssertionError('Data is not normalized or scaled',)","AssertionError('Incorrect output layer activation --> Use sigmoid activation',)","Batch 0 layer 5: Numerical Problem Forward, terminating training 		 --- 0.6830479999999999 seconds ---		 Normalize the data"
9,46642627,Reg,"++ X = (X - np.max(X)) / np.max(X)
-- model.add(Dense(1, kernel_initializer = 'uniform', activation='sigmoid'))
++ model.add(Dense(1, kernel_initializer = 'uniform', activation='linear'))
 -- model.compile(loss='binary_crossentropy', optimizer=opt, metrics=['accuracy'])
++ model.compile(loss='mae', optimizer=opt, metrics=['mse'])
-- opt = optimizers.SGD(lr=0.01)
++ opt = optimizers.Adam(lr=0.001)","AssertionError('Data is not normalized or scaled',)","AssertionError(['Incorrect loss --> Use mean squared error or mean absolute error'],) 
AssertionError('Incorrect metrics --> Use mean squared error or mean absolute error',) 
AssertionError('Incorrect output layer activation --> Use linear activation',)","Batch 0 layer 2: Numerical Error in delta Weights, terminating training		 --- 0.6432479999999998 seconds ---"
10,46995209,Reg,"++ X = (X - np.max(X)) / np.max(X)
-- model.add(Dense(10, input_dim=input_dim, activation='tanh'))
++ model.add(Dense(10, input_dim=input_dim, activation='relu'))
-- model.add(Dense(90, activation='tanh'))
++ model.add(Dense(90, activation='relu'))
-- model.add(Dense(10, activation='tanh'))
++ model.add(Dense(10, activation='relu'))
-- model.add(Dense(10, activation='tanh'))
++ model.add(Dense(10, activation='relu'))
-- model.add(Dense(10, activation='tanh'))
++ model.add(Dense(10, activation='relu'))
-- model.add(Dense(10, activation='tanh'))
++ model.add(Dense(10, activation='relu'))
-- model.add(Dense(10, activation='tanh'))
++ model.add(Dense(10, activation='relu'))
-- model.add(Dense(10, activation='tanh'))
++ model.add(Dense(10, activation='relu'))
-- model.add(Dense(10, activation='tanh'))
++ model.add(Dense(10, activation='relu'))
-- model.add(Dense(10, activation='tanh'))
++ model.add(Dense(10, activation='relu'))
-- model.add(Dense(10, activation='tanh'))
++ model.add(Dense(10, activation='relu'))
-- model.add(Dense(1,activation='tanh'))
++ model.add(Dense(1))","AssertionError('Data is not normalized or scaled',)","AssertionError('Incorrect metrics --> Use mean squared error or mean absolute error',),
AssertionError('Incorrect output layer activation --> Use linear activation',)","Batch 19: Accurcy Not Increasing, terminating training		 --- 27.848416 seconds ---		 Normalize the data"
